"类型","报价单ID","客户名","规格编码","客户叫法","单位","旧值","新值","差","要不要问"
"★改价·反常","S9086","新又好","D7456015","炸腐竹","斤","90","18","-72.00","要问"
"★改价·反常","S9086","新又好","D7456004","豆腐串（串）","串","9.5","0.48","-9.02","要问"
"★改价·反常","S7848","骏勉食品","D12015281","卤香干","斤","9","4.5","-4.50","要问"
"★改价·反常","S7848","骏勉食品","D6432068","海带丝（2斤）","包","4.8","9.6","4.80","要问"
"★改价·反常","S7848","骏勉食品","D6432062","海带结（2斤）","包","4.8","9.6","4.80","要问"
"★改价·反常","S12738","广东广垦绿色农产品有限公司","D12115127","油炸螺蛳粉腐竹","斤","0","15.8","15.80","要问"
"★改价·反常","S10863","佛山市盈膳餐饮管理有限公司","D9890277","香干（包装）200g","包","3","0.72","-2.28","要问"
"改价","S4317","雅食乐餐饮管理服务有限公司","D14002641","益群山水豆腐（400g）","盒","3","2.5","-0.50",""
"改价","S2981","广东御口福经贸发展有限公司","D3077673","凉粉","斤","1.2","1.5","0.30",""
"改价","S12738","广东广垦绿色农产品有限公司","D13610753","魔芋结/盒","盒","2.5","2.4","-0.10",""
"改价","S12738","广东广垦绿色农产品有限公司","D13017403","山水豆腐/斤","斤","2","1.9","-0.10",""
"改价","S12738","广东广垦绿色农产品有限公司","D12891529","普宁豆腐","斤","4","3.8","-0.20",""
"改价","S12738","广东广垦绿色农产品有限公司","D12115082","豆腐干","斤","3","2.9","-0.10",""
"改价","S12738","广东广垦绿色农产品有限公司","D11879220","油炸豆腐串/斤","斤","8.6","8.2","-0.40",""
"改价","S12738","广东广垦绿色农产品有限公司","D11530273","魔芋","斤","2.4","2.3","-0.10",""
"改价","S12738","广东广垦绿色农产品有限公司","D11473647","山水豆腐(花泉)/件","件","41","39.6","-1.40",""
"改价","S12738","广东广垦绿色农产品有限公司","D11473433","油炸豆腐片","斤","7","6.8","-0.20",""
"改价","S12738","广东广垦绿色农产品有限公司","D11473220","老豆腐8-9斤/板","板","17","16.2","-0.80",""
"改价","S12738","广东广垦绿色农产品有限公司","D11425088","油炸豆干","斤","6.5","6.2","-0.30",""
"改价","S12738","广东广垦绿色农产品有限公司","D11425084","烟香干","斤","4.3","4.1","-0.20",""
"改价","S12738","广东广垦绿色农产品有限公司","D11424826","客家豆腐4-5斤","板","10.5","10","-0.50",""
"改价","S12738","广东广垦绿色农产品有限公司","D11424794","五香香干","斤","4","3.8","-0.20",""
"改价","S12738","广东广垦绿色农产品有限公司","D11424761","鲜支竹250g","包","7","6.5","-0.50",""
"改价","S12738","广东广垦绿色农产品有限公司","D11376027","尝元山水豆腐（400g/盒）","盒","3.3","3.1","-0.20",""
"改价","S12738","广东广垦绿色农产品有限公司","D11375960","豆干","斤","3.1","3","-0.10",""
"改价","S12738","广东广垦绿色农产品有限公司","D11375906","日本豆腐（件）","件","22.8","22","-0.80",""
"改价","S12738","广东广垦绿色农产品有限公司","D11375885","炸支竹（斤）","斤","15.8","15.5","-0.30",""
"改价","S12738","广东广垦绿色农产品有限公司","D11375848","千页豆腐（斤）","斤","6.6","6","-0.60",""
"改价","S12738","广东广垦绿色农产品有限公司","D11375824","老豆腐（斤）","斤","2.65","2.5","-0.15",""
"改价","S12738","广东广垦绿色农产品有限公司","D11375590","豆泡（大）","斤","6.3","6","-0.30",""
"改价","S12738","广东广垦绿色农产品有限公司","D11334569","水豆腐（中）","板","11.5","11","-0.50",""
"改价","S12738","广东广垦绿色农产品有限公司","D11334564","水豆腐（大）","板","16","15.5","-0.50",""
"改价","S12738","广东广垦绿色农产品有限公司","D11319181","山水豆腐（花泉）","盒","3.3","3.1","-0.20",""
"改价","S12738","广东广垦绿色农产品有限公司","D11317336","白豆干","斤","3.2","3","-0.20",""
"改价","S12738","广东广垦绿色农产品有限公司","D11317313","山水豆腐/5斤/板","板","5.6","5.4","-0.20",""
"改价","S12738","广东广垦绿色农产品有限公司","D11317019","豆腐皮","斤","4.3","4.2","-0.10",""
"改价","S12738","广东广垦绿色农产品有限公司","D11317009","香干","斤","3.4","3.2","-0.20",""
"改价","S12738","广东广垦绿色农产品有限公司","D11316980","无签豆腐串（50串/包）","包","32.5","30","-2.50",""
"改价","S12738","广东广垦绿色农产品有限公司","D11316893","老豆腐/板4-5斤","板","10","9.5","-0.50",""
