优先级,客户名称(报价单),报价单ID,建议存放文件夹,要给几张单,不同叫法数,8天单数,下单天数,明细行数,在售商品数,底下的门店(微信里按这些名字找),状态,已收几张
1,"佛山市卓驰农产品生鲜供应链有限公司",S3008,S3008_佛山市卓驰农产品生鲜供应链有限公司,4,33,57,7,489,49,"佛山市卓驰农产品生鲜供应链有限公司-仙村 / 佛山市卓驰农产品生鲜供应链有限公司-更楼 / 佛山市卓驰农产品生鲜供应链有限公司-蛟塘 / 佛山市卓驰农产品生鲜供应链有限公司-馨怡 / 佛山市卓驰农产品生鲜供应链有限公司-活道店 / 佛山市卓驰农产品生鲜供应链有限公司-东升 / 佛山市卓驰农产品生鲜供应链有限公司-回龙店 / 佛山市卓驰农产品生鲜供应链有限公司-白石店 / 卓驰-中医院",待收集,
2,"士荣仓储配送中心",S2979,S2979_士荣仓储配送中心,4,33,36,7,469,67,"士荣仓储配送中心-高村 / 士荣仓储配送中心-周村 / 士荣仓储配送中心-白岗门店 / 士荣仓储配送中心-罗村店 / 士荣仓储配送中心-白沙桥 / 士荣仓储配送中心-饭堂",待收集,
3,"华丰超市岭南顺德店",S4539,S4539_华丰超市岭南顺德店,4,43,14,7,390,93,"华丰超市-岭南店 / 华丰超市-顺德店",待收集,
4,"广州永辉彩食鲜供应链管理有限公司",S2972,S2972_广州永辉彩食鲜供应链管理有限公司,4,77,7,7,340,127,"广州永辉彩食鲜供应链管理有限公司",待收集,
5,"真实惠生活超市报价",S3005,S3005_真实惠生活超市报价,2,21,21,7,283,33,"真实惠生活超市叠北店 / 真实惠生活超市联和店 / 真实惠生活超市旺南店",待收集,
6,"佛山市品棠食品有限公司",S9389,S9389_佛山市品棠食品有限公司,4,29,14,7,273,79,"佛山市品棠食品有限公司（昌大昌四会店） / 佛山市品棠食品有限公司（昌大昌三水店）",待收集,
7,"佳丰顺德超市",S9888,S9888_佳丰顺德超市,2,48,7,7,273,86,"佳丰超市-顺德店",待收集,
8,"李帅",S2951,S2951_李帅,1,8,42,7,272,10,"广东致远农业发展有限公司-6店 / 广东致远农业发展有限公司-8店 / 广东致远农业发展有限公司-2店 / 广东致远农业发展有限公司-3店 / 广东致远农业发展有限公司-10店 / 广东致远农业发展有限公司-16店",待收集,
9,"广东广垦绿色农产品有限公司",S12738,S12738_广东广垦绿色农产品有限公司,4,51,28,7,262,79,"广东广垦绿色农产品有限公司（七部） / 广东广垦绿色农产品有限公司（四部） / 广东广垦绿色农产品有限公司（一部） / 广东广垦绿色农产品有限公司（八部）",待收集,
10,"三颗菜",S2999,S2999_三颗菜,4,17,42,7,248,32,"三颗菜三水仓 / 三颗菜白云仓 / 菜运达供应链",待收集,
11,"新又好",S9086,S9086_新又好,4,33,14,7,244,65,"新又好超市（中恒店） / 新又好超市（上林一品店）",待收集,
12,"佛山市毅服餐饮服务有限公司",S2985,S2985_佛山市毅服餐饮服务有限公司,4,24,7,7,240,69,"佛山市毅服餐饮服务有限公司",待收集,
13,"广泰超市配送中心",S3001,S3001_广泰超市配送中心,4,32,14,7,228,59,"广泰超市配送中心",待收集,
14,"一分利生鲜配送中心",S2948,S2948_一分利生鲜配送中心,4,24,21,7,225,39,"佛山市聚农商贸有限公司 / 一分利生鲜配送中心 / 一分利生鲜配送中心-东莞",待收集,
15,"佛山市万速鲜供应链管理有限公司",S2987,S2987_佛山市万速鲜供应链管理有限公司,3,26,7,7,212,39,"佛山市万速鲜供应链管理有限公司",待收集,
16,"美宜多",S11948,S11948_美宜多,4,30,14,7,202,44,"美宜多超市",待收集,
17,"广东创鲜汇食品供应链有限公司",S2973,S2973_广东创鲜汇食品供应链有限公司,4,24,8,7,201,60,"广东创鲜汇食品供应链有限公司",待收集,
18,"龙门乐万佳",S4265,S4265_龙门乐万佳,3,19,21,7,169,30,"龙门乐万佳-永汉 / 龙门乐万佳-西林 / 龙门乐万佳-城北",待收集,
19,"广东蔬源农产品有限公司",S2930,S2930_广东蔬源农产品有限公司,4,33,14,7,162,92,"广东蔬源农产品有限公司 / 广东氢农食品供应链有限公司",待收集,
20,"广东裕丰膳食管理服务有限公司",S2947,S2947_广东裕丰膳食管理服务有限公司,4,26,7,7,158,93,"广东裕丰膳食管理服务有限公司",待收集,
21,"江云生鲜配送",S2984,S2984_江云生鲜配送,4,34,7,7,141,76,"江云生鲜配送",待收集,
22,"广东乐禾菜云信息科技有限公司",S13280,S13280_广东乐禾菜云信息科技有限公司,4,23,21,7,138,45,"菜云(佛山)食品科技有限公司 / 菜仟箩",待收集,
23,"佛山市碧源餐饮管理服务有限公司",S2949,S2949_佛山市碧源餐饮管理服务有限公司,4,32,17,7,133,97,"佛山市碧源餐饮管理服务有限公司",待收集,
24,"万民超市小塘店",S3004,S3004_万民超市小塘店,2,23,7,7,131,58,"万民超市小塘店",待收集,
25,"祥熙",S2933,S2933_祥熙,4,25,20,7,126,60,"祥熙",待收集,
26,"欣皓超市-科嘉购",S5131,S5131_欣皓超市-科嘉购,1,23,7,7,118,32,"佛山市南海区科嘉购百货商店",待收集,
27,"雅食乐餐饮管理服务有限公司",S4317,S4317_雅食乐餐饮管理服务有限公司,4,32,7,7,112,55,"雅食乐餐饮管理服务有限公司",待收集,
28,"祺之盛",S4192,S4192_祺之盛,4,16,7,7,102,40,"佛山市祺之盛农业发展有限公司",待收集,
29,"花鹿精品超市碧翠",S4388,S4388_花鹿精品超市碧翠,4,19,7,7,101,58,"花鹿精品超市-碧翠店",待收集,
30,"广东御口福经贸发展有限公司",S2981,S2981_广东御口福经贸发展有限公司,4,25,7,7,98,70,"广东御口福经贸发展有限公司",待收集,
31,"佛山市南海轩宝餐饮管理有限公司狮山分公司",S2934,S2934_佛山市南海轩宝餐饮管理有限公司狮山分,3,23,7,7,95,54,"佛山市南海轩宝餐饮管理有限公司狮山分公司",待收集,
32,"广东惠隆供应链有限公司",S2970,S2970_广东惠隆供应链有限公司,3,27,7,7,94,89,"广东惠隆供应链有限公司",待收集,
33,"佛山市日宥农副产品有限公司（餐享家）",S2986,S2986_佛山市日宥农副产品有限公司餐享家,4,22,8,8,94,35,"佛山市日宥农副产品有限公司",待收集,
34,"捷联生鲜",S4937,S4937_捷联生鲜,4,15,21,7,93,42,"捷联生鲜-客利隆小榄店 / 捷联生鲜-西樵店 / 捷联生鲜-乐友乐",待收集,
35,"广东省广晟饮食服务有限公司",S2962,S2962_广东省广晟饮食服务有限公司,4,25,7,7,92,75,"广东省广晟饮食服务有限公司",待收集,
36,"广州市祈福生鲜贸易有限公司",S2935,S2935_广州市祈福生鲜贸易有限公司,4,21,14,7,91,75,"广州市祈福生鲜贸易有限公司 / 广州市优捷餐饮有限公司佛山分公司",待收集,
37,"花鹿精品超市联和",S3002,S3002_花鹿精品超市联和,4,19,7,7,85,57,"花鹿精品超市-联和店",待收集,
38,"广东朱鲜生餐饮有限公司",S2944,S2944_广东朱鲜生餐饮有限公司,4,22,7,7,84,90,"广东朱鲜生餐饮有限公司",待收集,
39,"佛山厨鲜达食材配送",S2983,S2983_佛山厨鲜达食材配送,4,27,7,7,84,89,"佛山厨鲜达食材配送",待收集,
40,"惠雅超市",S4708,S4708_惠雅超市,1,12,7,7,78,80,"惠雅超市",待收集,
41,"老马豆制品批发零售",S9893,S9893_老马豆制品批发零售,2,5,24,8,73,11,"蓝塘市场 / 河旁市场 / 坑口市场",待收集,
42,"大利家精品超市",S13402,S13402_大利家精品超市,2,15,7,7,70,42,"大利家精品超市(艺力天地店)",待收集,
43,"大沥桂江市场春花档",S3009,S3009_大沥桂江市场春花档,3,11,7,7,68,30,"大沥桂江市场春花档",待收集,
44,"康瑞达食材配送中心",S9555,S9555_康瑞达食材配送中心,3,16,7,7,66,32,"康瑞达食材配送中心",待收集,
45,"骏勉食品",S7848,S7848_骏勉食品,2,12,7,7,63,37,"骏勉-鹏运",待收集,
46,"耀琳配送",S7953,S7953_耀琳配送,4,14,13,7,63,25,"广东耀琳餐饮管理服务有限公司",待收集,
47,"文田市场童老板",S9043,S9043_文田市场童老板,1,5,7,7,63,9,"文田市场童老板",待收集,
48,"好好多超市",S3114,S3114_好好多超市,2,11,7,7,62,14,"好好多超市",待收集,
49,"佛山市珠玑食品有限公司",S2996,S2996_佛山市珠玑食品有限公司,4,18,7,7,62,50,"佛山市珠玑食品有限公司",待收集,
50,"惠民生鲜",S2988,S2988_惠民生鲜,2,11,7,7,61,23,"惠民生鲜",待收集,
51,"望家欢农产品集团有限公司",S2969,S2969_望家欢农产品集团有限公司,4,16,7,7,61,68,"佛山望家欢农产品有限公司",待收集,
52,"中南01档",S3018,S3018_中南01档,1,7,7,7,57,18,"中南市场01档",待收集,
53,"优品百货",S4282,S4282_优品百货,3,12,7,7,55,66,"优品联华超市（钟边店）",待收集,
54,"广东惠丰企业管理股份有限公司",S2977,S2977_广东惠丰企业管理股份有限公司,4,15,7,7,47,47,"广东惠丰企业管理股份有限公司",待收集,
55,"广州添嘉市场张老板",S3012,S3012_广州添嘉市场张老板,3,11,7,7,45,20,"广州天嘉市场张老板",待收集,
56,"广州添嘉市场",S3011,S3011_广州添嘉市场,4,8,7,7,44,17,"广州天嘉市场（老吴）",待收集,
57,"天嘉市场73档",S5317,S5317_天嘉市场73档,1,5,7,7,43,11,"天嘉市场73档",待收集,
58,"中南35档",S3023,S3023_中南35档,1,6,7,7,42,7,"中南市场34档",待收集,
59,"新兴豆制品厂",S9391,S9391_新兴豆制品厂,3,12,4,4,41,15,"新兴豆制品厂",待收集,
60,"广东天晟农产品有限公司",S2952,S2952_广东天晟农产品有限公司,2,14,6,6,40,48,"广东天晟农产品有限公司",待收集,
61,"阳农农业运营中心",S2922,S2922_阳农农业运营中心,4,19,7,7,40,41,"阳农农业运营中心",待收集,
62,"惠中",S4193,S4193_惠中,4,13,7,7,40,44,"广东惠中供应链有限公司",待收集,
63,"佛山梁日配送服务有限公司",S8722,S8722_佛山梁日配送服务有限公司,2,6,7,7,40,10,"佛山梁日配送服务有限公司",待收集,
64,"广州添嘉市场叶娟档",S3015,S3015_广州添嘉市场叶娟档,1,5,7,7,37,9,"广州天嘉市场叶娟档",待收集,
65,"佛山市鸿益配餐食材加工有限公司",S2963,S2963_佛山市鸿益配餐食材加工有限公司,4,15,6,6,37,45,"佛山市鸿益配餐食材加工有限公司",待收集,
66,"大沥桂江市场朗云档",S3010,S3010_大沥桂江市场朗云档,2,6,7,7,36,13,"大沥桂江市场朗云档",待收集,
67,"鹏博",S8481,S8481_鹏博,4,15,7,7,36,28,"鹏博(广东)食品供应链有限公司",待收集,
68,"鸿森餐饮管理有限公司",S2954,S2954_鸿森餐饮管理有限公司,4,10,7,7,34,21,"鸿森餐饮管理有限公司",待收集,
69,"京东",S2997,S2997_京东,4,8,20,6,33,18,"京东 / 媒体园 / 朗肽 / 公共饭堂 / 基德福",待收集,
70,"二宝",S9045,S9045_二宝,1,6,7,7,33,7,"二宝（市场）",待收集,
71,"中南16档",S3021,S3021_中南16档,1,4,7,7,33,6,"中南市场16档",待收集,
72,"中膳世家佛山餐饮管理有限公司",S2994,S2994_中膳世家佛山餐饮管理有限公司,4,13,7,7,33,33,"中膳世家佛山餐饮管理有限公司",待收集,
73,"中南40档",S3022,S3022_中南40档,1,5,7,7,32,6,"中南市场40档",待收集,
74,"广东好来客食品集团有限公司中南分公司",S2939,S2939_广东好来客食品集团有限公司中南分公司,4,12,5,5,31,80,"好来客食品集团有限公司",待收集,
75,"中南华辰档口",S11017,S11017_中南华辰档口,1,4,7,7,30,4,"中南市场华辰档口",待收集,
76,"中南27档（原48）",S3019,S3019_中南27档原48,1,5,7,7,30,11,"中南市场27档",待收集,
77,"佛山市中央厨房供应链有限公司",S2959,S2959_佛山市中央厨房供应链有限公司,4,12,6,6,29,73,"佛山市中央厨房供应链有限公司",待收集,
78,"中南13档",S3027,S3027_中南13档,3,5,7,7,29,10,"中南市场13档",待收集,
79,"江南市场",S13126,S13126_江南市场,3,5,8,8,28,13,"江南巿场",待收集,
80,"中南11档",S3020,S3020_中南11档,2,5,7,7,28,9,"中南市场11档",待收集,
81,"默认报价单",S2752,S2752_默认报价单,4,6,6,6,27,178,"东方市场",待收集,
82,"中南38档",S3025,S3025_中南38档,1,4,6,6,25,7,"中南市场38档",待收集,
83,"广东正沅餐饮管理有限公司",S2998,S2998_广东正沅餐饮管理有限公司,4,10,7,7,24,37,"广东正沅餐饮管理有限公司",待收集,
84,"中南30档",S3026,S3026_中南30档,1,3,8,7,24,8,"中南市场30档",待收集,
85,"乐禾食品集团股份有限公司佛山分公司",S2940,S2940_乐禾食品集团股份有限公司佛山分公司,4,10,8,6,24,79,"乐禾食品集团股份有限公司佛山分公司",待收集,
86,"南约市场",S9506,S9506_南约市场,1,4,6,6,24,6,"南约市场",待收集,
87,"佛山市南海区惠雅配送中心",S2932,S2932_佛山市南海区惠雅配送中心,4,11,7,7,23,44,"佛山市南海区惠雅配送中心",待收集,
88,"军绿(广东)农业发展有限公司",S4892,S4892_军绿(广东)农业发展有限公司,4,8,8,6,22,38,"武汉市金稻云商贸有限公司",待收集,
89,"中南12档",S3029,S3029_中南12档,1,3,7,7,22,11,"中南市场15档",待收集,
90,"佛山市三水区鲜润香食品经营店",S2992,S2992_佛山市三水区鲜润香食品经营店,1,8,3,3,22,8,"佛山市三水区鲜润香食品经营店",待收集,
91,"好来客食品集团有限公司顺德",S2964,S2964_好来客食品集团有限公司顺德,4,13,7,6,21,67,"好来客食品集团有限公司顺德分公司 / 佛山市智乐膳餐饮管理有限公司",待收集,
92,"官窑市场",S3014,S3014_官窑市场,1,3,7,7,21,9,"官窑小览市场",待收集,
93,"中南15档",S3030,S3030_中南15档,1,3,7,7,21,6,"中南市场12档",待收集,
94,"广州菜天鲜供应链管理有限公司",S2993,S2993_广州菜天鲜供应链管理有限公司,1,4,7,7,20,4,"广州菜天鲜供应链管理有限公司",待收集,
95,"广东宝强食品供应链有限公司",S2945,S2945_广东宝强食品供应链有限公司,3,9,7,7,20,26,"广东宝强食品供应链有限公司",待收集,
96,"多多",S3032,S3032_多多,1,2,7,7,16,23,"多多-快驴-平台",待收集,
97,"佛山晟煌食品科技有限公司",S2971,S2971_佛山晟煌食品科技有限公司,4,9,6,6,15,69,"佛山晟煌食品科技有限公司",待收集,
98,"顺德金利市场",S7607,S7607_顺德金利市场,1,2,7,7,14,5,"顺德金利市场",待收集,
99,"胡道好",S9046,S9046_胡道好,1,2,7,7,14,6,"胡道好（市场）",待收集,
100,"杨哥配送",S5319,S5319_杨哥配送,1,2,7,7,14,3,"杨哥配送（市场）",待收集,
101,"中南31档",S3028,S3028_中南31档,1,3,6,6,13,5,"中南市场31档",待收集,
102,"西朗荔朗市场",S9047,S9047_西朗荔朗市场,1,2,6,6,12,3,"西朗荔朗市场",待收集,
103,"佛山市华晟隆农副产品有限公司",S2995,S2995_佛山市华晟隆农副产品有限公司,4,8,6,6,11,35,"佛山市华晟隆农副产品有限公司",待收集,
104,"佛山市晋膳美食品供应链有限公司",S11046,S11046_佛山市晋膳美食品供应链有限公司,3,5,4,4,11,12,"佛山市晋膳美食品供应链有限公司",待收集,
105,"朗誉食品有限公司",S2958,S2958_朗誉食品有限公司,4,6,5,5,8,35,"朗誉食品有限公司",待收集,
106,"顺客隆配送中心",S2982,S2982_顺客隆配送中心,1,2,5,4,7,10,"顺客隆配送中心",待收集,
107,"广东百兴餐饮服务有限公司",S2966,S2966_广东百兴餐饮服务有限公司,3,4,3,3,7,29,"广东百兴餐饮服务有限公司",待收集,
108,"广东徽派餐饮服务有限公司",S2957,S2957_广东徽派餐饮服务有限公司,1,3,4,4,6,41,"广东徽派餐饮服务有限公司",待收集,
109,"品昌食品",S8714,S8714_品昌食品,3,4,5,5,6,24,"广东品昌餐饮管理有限公司",待收集,
110,"中南市场03档",S15559,S15559_中南市场03档,1,1,5,5,6,1,"中南市场03档",待收集,
111,"佛山市咏泉食品配送有限公司",S2923,S2923_佛山市咏泉食品配送有限公司,3,2,4,4,5,22,"佛山市咏泉食品配送有限公司",待收集,
112,"佛山市南海南脉食品有限公司",S2965,S2965_佛山市南海南脉食品有限公司,2,3,3,3,5,16,"佛山市南海南脉食品有限公司",待收集,
113,"佛山市南海嘉邦百货有限公司",S2955,S2955_佛山市南海嘉邦百货有限公司,2,4,2,2,5,42,"佛山市南海嘉邦百货有限公司",待收集,
114,"佛山市华鑫隆食品配送有限公司",S2956,S2956_佛山市华鑫隆食品配送有限公司,1,2,4,4,5,5,"佛山市华鑫隆食品配送有限公司",待收集,
115,"清河市场376档口",S13629,S13629_清河市场376档口,1,1,4,4,4,1,"清河市场376豆腐档",待收集,
