文件,行号,种类,名字
"引擎-解析.js","40","小节","散称 vs 整份"
"引擎-解析.js","53","小节","板当斤算 —— 只拦这一个方向"
"引擎-解析.js","60","函数","板当斤"
"引擎-解析.js","79","函数","补零"
"引擎-解析.js","88","函数","常见错字"
"引擎-解析.js","126","函数","是单据标题"
"引擎-解析.js","136","函数","找单据标题"
"引擎-解析.js","204","函数","摘尾巴点位"
"引擎-解析.js","268","小节","中文数字"
"引擎-解析.js","278","函数","中文数"
"引擎-解析.js","286","函数","中文数字转阿拉伯"
"引擎-解析.js","297","小节","规格并进商品名 ★ 只准有这一份"
"引擎-解析.js","308","函数","拼名字"
"引擎-解析.js","325","函数","还原拉伸"
"引擎-解析.js","327","函数","收"
"引擎-解析.js","340","函数","出"
"引擎-解析.js","404","小节","E：先切片、再逐片认 ★（2026-08-10 补）"
"引擎-解析.js","612","函数","摘单价"
"引擎-解析.js","620","小节","一串加法"
"引擎-解析.js","638","小节","数量写 0、真数量藏在说明里 ★（2026-08-10 老板定死）"
"引擎-解析.js","677","函数","说不准"
"引擎-解析.js","704","函数","捞干净了吗"
"引擎-解析.js","727","函数","零数量补救"
"引擎-解析.js","776","函数","加总"
"引擎-解析.js","791","小节","采购表的「总数量」列，拿来当校验码"
"引擎-解析.js","801","函数","摘总数"
"引擎-解析.js","1084","小节","兜底：像人一样找数量"
"引擎-解析.js","1178","小节","收尾 ★ 只准有这一份"
"引擎-解析.js","1188","函数","收尾"
"引擎-解析.js","1191","小节","备注里写了数量，就以备注为准"
"引擎-解析.js","1276","小节","没写具体数量的，整行不要"
"引擎-解析.js","1345","小节","单位反推"
"引擎-解析.js","1378","小节","预置对照的取值"
"引擎-解析.js","1427","小节","学过的对照"
"引擎-解析.js","1515","小节","单位换算"
"引擎-读结构.js","69","函数","半"
"引擎-读结构.js","73","函数","读数"
"引擎-读结构.js","121","函数","字"
"引擎-读结构.js","122","函数","数"
"引擎-读结构.js","127","函数","拼点位"
"引擎-读结构.js","140","函数","拼话"
"引擎-读结构.js","149","函数","拼名字"
"引擎-读结构.js","167","函数","读结构"
"引擎-读结构.js","328","小节","校验（只报不改）"
"引擎-读结构.js","398","函数","分布总数"
"引擎-读结构.js","409","函数","查怎么读的"
"引擎-读结构.js","504","函数","整抬头"
"引擎-读结构.js","523","函数","校验说人话"
"引擎-读结构.js","539","函数","剥JSON"
"引擎-读结构.js","564","函数","数字"
"引擎-读结构.js","568","函数","一段"
"引擎-读结构.js","574","函数","结构变文字"
"引擎-抓取.js","51","函数","尺子"
"引擎-抓取.js","56","函数","收"
"引擎-抓取.js","70","函数","是我们的货"
"引擎-抓取.js","87","函数","量一列"
"引擎-抓取.js","102","函数","认品名列"
"引擎-抓取.js","132","函数","字"
"引擎-抓取.js","173","函数","认一格"
"引擎-抓取.js","214","函数","认一列"
"引擎-抓取.js","267","函数","抓"
"引擎-抓取.js","351","函数","是合计行"
"引擎-抓取.js","361","函数","算合计行"
"引擎-抓取.js","380","函数","平"
"引擎-抓取.js","387","函数","剩字"
"引擎-抓取.js","401","函数","点名"
"引擎-抓取.js","454","函数","记"
"引擎-抓取.js","572","函数","分"
"引擎-抓取.js","606","函数","找数据起点"
"引擎-抓取.js","652","函数","读表头"
"引擎-抓取.js","668","函数","挑列"
"引擎-抓取.js","703","函数","别碰"
"引擎-抓取.js","704","函数","已占"
"引擎-抓取.js","708","函数","跳"
"引擎-抓取.js","794","函数","逐行抓"
"引擎-抓取.js","870","函数","接一段"
"引擎-抓取.js","920","函数","试横着排"
"引擎-抓取.js","972","函数","说列"
"引擎-匹配.js","21","小节","验收线：工具什么时候可以自己拍板"
"引擎-匹配.js","132","小节","反义词闸门"
"引擎-匹配.js","144","函数","词冲突"
"引擎-匹配.js","171","小节","一个计价单位等于几个散称单位"
"引擎-匹配.js","184","函数","一份几个"
"引擎-匹配.js","216","函数","换算比"
"引擎-匹配.js","238","函数","根"
"引擎-匹配.js","245","函数","默认那头"
"引擎-匹配.js","281","小节","单位闸门"
"引擎-匹配.js","289","函数","单位对不上"
"引擎-匹配.js","318","函数","同单位的排前面"
"引擎-匹配.js","347","函数","认一遍"
"引擎-匹配.js","413","函数","各道闸门"
"引擎-匹配.js","449","函数","按价定"
"引擎-匹配.js","455","函数","问之前"
"引擎-断句规矩.js","43","函数","字"
"引擎-断句规矩.js","54","函数","切块"
"引擎-断句规矩.js","76","函数","猜身份"
"引擎-断句规矩.js","96","函数","默认接上"
"引擎-断句规矩.js","109","函数","合块"
"引擎-断句规矩.js","118","函数","切块带猜"
"引擎-断句规矩.js","126","函数","认模式"
"引擎-断句规矩.js","143","函数","学一条"
"引擎-断句规矩.js","157","函数","照规矩切"
"引擎-断句规矩.js","190","函数","试学过的"
"引擎-认表.js","35","函数","字"
"引擎-认表.js","36","函数","是数"
"引擎-认表.js","40","函数","取数"
"引擎-认表.js","50","函数","骨架"
"引擎-认表.js","199","函数","扔掉了什么"
"引擎-认表.js","223","函数","摊平"
"引擎-认表.js","272","函数","列说明"
"引擎-认表.js","282","函数","格"
"引擎-认表.js","304","函数","是Excel截图"
"引擎-认表.js","344","函数","像表头"
"引擎-认表.js","355","小节","表样指纹 ★（2026-08-11）"
"引擎-认表.js","390","函数","列长相"
"引擎-认表.js","405","函数","表样指纹"
"引擎-认表.js","458","函数","自己找分布列"
"引擎-认表.js","506","函数","自己找几列"
"引擎-认表.js","540","函数","像序号"
"引擎-认表.js","588","函数","摊明细"
"引擎-认表.js","799","函数","横起"
"引擎-认表.js","801","函数","横止"
"引擎-认表.js","805","函数","摊矩阵"
"引擎-认表.js","894","函数","转"
"引擎-认表.js","910","函数","估token"
"引擎-点位册.js","44","函数","半"
"引擎-点位册.js","45","函数","字"
"引擎-点位册.js","49","函数","平号"
"引擎-点位册.js","50","函数","平名"
"引擎-点位册.js","59","函数","拆"
"引擎-点位册.js","68","函数","拼"
"引擎-点位册.js","79","函数","键"
"引擎-点位册.js","81","函数","本"
"引擎-点位册.js","87","函数","查"
"引擎-点位册.js","101","函数","学"
"引擎-点位册.js","128","函数","顺一遍"
"引擎-点位册.js","157","函数","学一单"
"引擎-点位册.js","165","函数","有几个"
"引擎-点位册.js","166","函数","全部"
"引擎-读文件.js","213","函数","取Workbook"
"引擎-读文件.js","231","函数","读链"
